# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 100
74 1.8375 1.00061 20.0932
75 1.8625 1.04136 21.051
76 1.8875 1.08586 22.0768
77 1.9125 1.11445 23.1576
78 1.9375 1.14068 24.293
79 1.9625 1.16243 25.48
80 1.9875 1.19113 26.7276
81 2.0125 1.20419 28.0208
82 2.0375 1.20734 29.3498
83 2.0625 1.21079 30.7154
84 2.0875 1.20366 32.1062
85 2.1125 1.17283 33.494
86 2.1375 1.15767 34.8964
87 2.1625 1.12817 36.2953
88 2.1875 1.1047 37.6969
89 2.2125 1.07855 39.0968
90 2.2375 1.0433 40.4817
91 2.2625 1.02238 41.8694
92 2.2875 0.997 43.2527
93 2.3125 0.967432 44.6244
94 2.3375 0.960051 46.0153
95 2.3625 0.9356 47.3999
96 2.3875 0.918309 48.7878
97 2.4125 0.911379 50.1943
98 2.4375 0.907539 51.624
99 2.4625 0.897042 53.0663
100 2.4875 0.892237 54.5301
5000 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0.000134416 2.5e-05
35 0.8625 0.00228127 0.000475
36 0.8875 0.025376 0.005775
37 0.9125 0.158069 0.040675
38 0.9375 0.522306 0.1624
39 0.9625 1.10779 0.434525
40 0.9875 1.73007 0.881875
41 1.0125 2.19539 1.47865
42 1.0375 2.44868 2.17755
43 1.0625 2.48639 2.92183
44 1.0875 2.38678 3.6703
45 1.1125 2.20622 4.39433
